#{"t_start": 1716624963.8867364, "env_id": "None"}
r,l,t
4.0852127,43,43.434711
4.2748103,40,43.484549
34.0476,106,43.57086
4.60261,49,43.583889
34.47944,106,43.653548
35.58436,105,43.778866
34.246025,112,43.810648
4.172797,43,43.853752
31.867842,115,43.863282
4.1987753,40,43.925889
4.2415514,40,43.937401
35.59203,107,43.99007
4.3848333,47,44.004583
4.2001705,42,44.065171
3.9859014,40,44.07468
31.416653,110,44.12632
4.2571464,42,44.138337
4.292695,42,44.147347
4.339159,43,44.19507
4.2988358,41,44.202582
4.2886214,42,44.217106
4.7886977,47,44.347045
4.3565946,43,44.347045
4.584088,51,44.435834
30.017479,110,44.479791
32.04997,109,44.538403
4.334324,41,44.548916
4.615218,47,44.618412
4.3594084,42,44.620429
31.493593,108,44.62443
4.3635945,42,44.699621
4.404526,45,44.700621
4.3942733,43,44.700621
34.382107,109,44.887679
33.764103,108,44.88968
31.751738,110,44.890681
31.30681,112,45.098495
31.488054,111,45.100009
35.14455,113,45.105523
4.171246,41,45.202667
4.217684,41,45.203676
4.134287,46,45.230116
4.2889843,43,45.282699
3.9618118,43,45.2837
4.11864,41,45.289701
4.1725273,39,45.357473
4.0525193,38,45.357473
4.046288,39,45.364473
3.9708912,38,45.413166
3.9802053,38,45.413166
3.9328127,39,45.420684
4.098273,38,45.476252
4.0174246,38,45.476252
4.032331,38,45.48376
4.0110116,38,45.576983
4.123759,39,45.584512
4.076241,38,45.596023
3.9856112,38,45.654621
4.004675,38,45.655621
4.000165,38,45.662622
3.973523,37,45.711929
3.9928002,37,45.714926
3.980424,37,45.72345
3.9996455,38,45.778581
4.00652,38,45.779582
4.0414925,38,45.786098
4.008613,38,45.841316
3.9314647,40,45.84432
3.9722989,38,45.848833
3.9820068,37,45.904911
3.9513671,38,45.911422
3.901359,39,45.918422
3.974504,37,45.962469
3.979768,37,45.970926
3.9802992,37,45.984963
3.9711807,37,46.036431
3.9276,38,46.045944
3.9726307,37,46.049459
3.7915304,41,46.115085
3.967548,37,46.116081
3.9688213,37,46.122586
3.9461126,37,46.180721
3.967495,37,46.186723
3.948752,37,46.189907
3.963479,37,46.252506
3.8733153,39,46.253505
3.9670153,37,46.258502
3.9569335,37,46.318558
3.9323635,38,46.325066
3.9243677,38,46.327075
3.906468,38,46.424336
3.9683757,37,46.427337
3.9345684,38,46.438859
3.9670153,37,46.499966
3.9741752,37,46.504468
3.9696574,37,46.506978
3.9591157,37,46.572056
3.9363818,38,46.57506
3.9675436,37,46.579061
3.9689794,37,46.654226
3.961489,37,46.659742
3.9439967,37,46.662747
3.9332612,38,46.714837
3.95894,37,46.714837
3.9328396,38,46.72034
3.9670153,37,46.781844
3.9670153,37,46.782845
3.938833,38,46.790368
3.9670153,37,46.853464
3.971781,37,46.854465
3.972269,37,46.862982
3.9670153,37,46.948684
3.9670153,37,46.949683
3.9670153,37,46.964206
3.9710555,37,47.021679
3.9683018,37,47.025679
3.9681005,37,47.029182
3.9683886,37,47.102236
3.9940982,37,47.102236
3.9786255,37,47.110265
3.9937508,37,47.171016
4.019413,38,47.182549
4.0355,40,47.194058
4.017332,38,47.246698
3.998898,38,47.248696
4.038938,38,47.258223
4.015796,38,47.318135
3.9833586,38,47.325136
4.006265,38,47.335297
3.986778,37,47.402705
3.9851444,37,47.403713
4.0239305,38,47.419564
4.00994,38,47.473182
3.8974717,39,47.4843
4.3464365,58,47.511372
3.9088893,40,47.591042
3.9501371,38,47.601575
3.9360225,39,47.637244
3.8815942,39,47.69084
4.287198,51,47.702371
4.456187,52,47.747987
4.1781635,50,47.786539
4.458831,54,47.800576
4.3091354,50,47.826703
4.2184286,50,47.873931
4.2188516,50,47.889444
4.187513,50,47.910977
4.3989496,51,47.951047
4.371148,50,47.971076
4.36324,50,47.993097
4.345647,50,48.032138
4.3795066,51,48.045706
4.532385,53,48.077884
4.369379,50,48.112942
4.36398,52,48.130984
4.373149,53,48.162522
4.4097986,51,48.202592
4.2158747,50,48.219625
4.6471734,53,48.24718
4.659966,53,48.28126
4.410375,53,48.304826
4.6438704,54,48.335414
4.6205335,55,48.369967
4.5703077,55,48.384996
4.569704,52,48.455655
4.6164017,55,48.502274
4.4856977,51,48.520879
4.4851923,51,48.55242
4.241803,41,48.584961
4.4682245,52,48.591477
4.55116,54,48.642565
4.4282036,46,48.665247
4.786803,59,48.689821
4.815551,49,48.74293
4.5636635,53,48.776437
34.233242,117,48.822506
4.7469063,57,48.828513
4.722182,58,48.867301
4.386839,42,48.891334
4.517921,53,48.913354
4.307478,41,48.941905
4.2264943,42,48.981447
4.329594,41,49.003988
4.247952,41,49.020728
4.2476006,40,49.041764
4.4224067,42,49.07131
4.0962906,39,49.080821
4.1741614,39,49.10485
4.230429,40,49.128924
4.260276,41,49.143981
4.448169,42,49.181354
4.2867913,40,49.207916
4.435837,42,49.22995
4.395416,43,49.262525
4.4121222,42,49.281094
4.455303,42,49.304131
4.377534,42,49.334788
4.5515194,43,49.355809
4.4972563,43,49.371332
4.367105,41,49.402533
4.5765986,44,49.450448
4.5065517,43,49.474072
4.634473,47,49.564774
30.647022,110,49.584824
4.7746325,47,49.595343
4.678376,46,49.66493
4.6633167,46,49.671937
4.656924,46,49.73977
4.499967,43,49.744771
30.73628,110,49.753285
4.4403596,42,49.799349
4.430293,43,49.805863
4.5560865,48,49.820883
4.6789804,47,49.87495
4.7677794,56,49.894985
4.793124,56,49.911528
31.496157,105,50.058692
32.03171,103,50.079242
32.390778,101,50.101774
5.4379883,61,50.191882
5.0718856,57,50.198395
31.331997,107,50.251982
5.25544,61,50.297054
4.5065656,52,50.340617
31.758415,106,50.375794
4.6181073,44,50.411403
4.794097,48,50.48313
4.5337396,44,50.507709
4.656455,45,50.515713
4.704637,46,50.561573
4.2888775,41,50.578685
4.4400187,43,50.587203
4.361857,42,50.622512
4.3521695,41,50.636551
4.493566,43,50.658459
4.614938,44,50.697008
4.4560647,42,50.706355
4.662713,45,50.724912
4.698363,50,50.835348
31.009596,109,50.909075
30.816319,107,50.916368
4.4148517,45,50.916368
4.7469044,47,50.990506
5.0886364,61,51.007022
31.096884,106,51.096424
4.822982,61,51.112451
32.00722,106,51.171556
4.842673,55,51.207093
32.480274,110,51.279752
30.824583,108,51.35254
32.246086,103,51.373574
31.99092,104,51.484871
4.6877174,47,51.486873
31.799187,105,51.578065
4.4482174,46,51.656863
31.146591,107,51.680393
32.688324,111,51.688405
4.2733965,41,51.719187
4.297923,41,51.743214
4.13259,39,51.756089
4.204307,40,51.792658
4.2931757,42,51.824852
4.39309,42,51.832364
4.468608,43,51.901473
32.194553,111,51.9799
4.9138346,56,51.986902
31.120388,106,52.007937
4.5576444,54,52.064481
4.4532943,51,52.069491
4.2872596,41,52.070491
4.205703,41,52.142622
4.2070713,41,52.145621
4.609349,53,52.164226
4.645025,45,52.216822
4.64658,47,52.329027
31.448242,108,52.370847
32.518215,103,52.38036
4.37278,42,52.402386
4.47964,44,52.434242
4.747682,47,52.445761
4.366033,45,52.507583
4.2880673,43,52.515608
31.809793,102,52.57773
4.384404,42,52.585735
4.321213,43,52.599766
4.4675336,46,52.656856
4.31335,41,52.657855
4.2708225,42,52.67289
4.272995,40,52.726473
4.3023252,41,52.738006
4.3333163,42,52.756146
4.1403646,39,52.821374
4.2165985,40,52.82534
4.117321,40,52.843951
4.1514616,39,52.912604
4.2532477,40,52.917605
4.144276,43,52.944885
4.078078,38,52.991988
4.1153283,39,53.001505
4.5784903,44,53.042064
4.341666,41,53.073646
4.3890905,42,53.08925
4.2728424,40,53.12334
4.3645473,41,53.157893
4.741864,47,53.174927
4.4386764,42,53.190455
4.433535,46,53.23301
4.3277793,41,53.243532
4.2918897,41,53.262204
4.1905417,39,53.305289
4.392333,42,53.322824
4.313959,41,53.340354
4.452124,42,53.383428
4.433271,42,53.402456
4.796747,48,53.460613
5.107303,58,53.534765
4.7525263,57,53.550804
33.90427,106,53.66257
30.003569,118,53.73713
29.419067,122,53.759171
30.618193,116,53.861268
30.175207,95,53.896808
31.13476,96,53.918831
5.3717294,62,53.998933
29.939247,118,54.050221
31.887188,98,54.080261
33.061935,102,54.16232
31.788668,99,54.207393
33.098125,107,54.244958
31.747581,103,54.348704
30.242477,96,54.4019
30.466932,116,54.506695
31.720251,100,54.575753
31.457832,104,54.621371
4.631255,63,54.633881
4.215069,40,54.652464
4.3381133,41,54.706615
4.5437703,44,54.72138
4.82023,49,54.739889
4.299749,42,54.781635
4.2598796,45,54.796663
4.1785617,41,54.812696
4.1993985,41,54.84526
4.157403,41,54.859827
4.0562034,39,54.867823
4.2148085,40,54.913396
4.425552,42,54.931923
4.105656,39,54.94245
4.0857825,38,54.97907
4.025973,39,55.006781
4.119961,39,55.0148
4.123078,39,55.049363
4.6031666,44,55.080754
4.36631,41,55.081754
4.2489934,42,55.117916
4.2011,40,55.152467
4.7645936,48,55.160521
4.3912034,42,55.189281
4.4390364,42,55.216477
4.6341023,45,55.226994
4.310531,41,55.256545
4.5185103,43,55.290102
4.338899,41,55.306918
4.4674916,42,55.33048
31.052984,106,55.531987
32.074448,102,55.537993
31.669315,100,55.564287
29.966175,95,55.733576
31.296316,100,55.735594
31.107449,100,55.778688
31.446545,99,55.942433
32.538784,104,55.94795
31.281425,98,55.965475
30.648397,103,56.126359
32.163685,104,56.136577
31.768349,103,56.155626
4.698019,45,56.223251
4.74556,48,56.235983
4.2683024,41,56.243981
4.58116,44,56.293558
4.542677,43,56.434997
31.207823,107,56.483608
31.747854,108,56.492124
4.33201,41,56.505649
4.3039837,41,56.574187
4.493923,57,56.591147
4.4668956,44,56.592146
3.9928768,38,56.630426
3.989646,38,56.657448
4.1358104,45,56.667497
4.0374403,40,56.702047
4.031132,39,56.72175
4.572472,45,56.739753
4.2209654,40,56.766782
3.9813645,39,56.78482
4.3332715,41,56.811383
4.623786,44,56.865198
31.65208,103,56.968075
5.0064216,65,57.000629
30.68771,101,57.008148
5.080655,63,57.071736
4.5825386,57,57.092309
4.9098134,66,57.116849
30.64857,121,57.266843
30.406544,113,57.269345
30.148413,115,57.294382
29.981401,106,57.49873
29.712534,123,57.540351
29.133589,120,57.568898
4.8776774,57,57.635033
28.521091,92,57.676087
5.3112626,63,57.678089
30.54655,113,57.821946
30.086529,99,57.833462
