#{"t_start": 1716802849.8440201, "env_id": "None"}
r,l,t
-20278.787,40,17.455503
-20366.09,49,17.468521
-20279.1,40,17.481045
-20297.367,42,17.520531
-20330.158,45,17.536563
-20297.213,42,17.536563
-20310.16,43,17.576127
-20317.627,44,17.624216
-20349.746,47,17.632738
-20308.803,43,17.68588
-20310.016,43,17.717945
-20348.127,47,17.725463
-20259.861,38,17.749307
-20268.148,39,17.768732
-20279.477,40,17.777734
-20316.574,44,17.804681
-20297.814,42,17.829705
-20286.307,41,17.83922
-20318.432,44,17.871828
-20266.336,39,17.883343
-20307.375,43,17.897371
-20309.67,43,17.932903
-20287.12,41,17.940413
-20279.041,40,17.956939
-20321.549,44,17.997078
-20297.822,42,18.001082
-20386.148,50,18.024446
-20307.34,43,18.057012
-20317.545,44,18.064524
-20358.967,48,18.096073
-20347.195,47,18.124627
-20328.332,45,18.126629
-20338.824,46,18.16422
-20317.162,44,18.193745
-20444.531,56,18.211285
-20319.977,44,18.231307
-20346.738,47,18.266378
-20294.03,42,18.279408
-20287.426,41,18.29794
-20298.764,42,18.369252
-20391.19,51,18.38929
-20338.027,46,18.416338
-20307.594,43,18.462329
-20298.484,42,18.470339
-20338.559,46,18.495911
-20329.068,45,18.552287
-20329.787,45,18.559311
-20438.48,55,18.610476
-20330.111,45,18.646063
-20403.002,52,18.675153
-20306.719,43,18.70421
-20385.25,50,18.735284
-20307.271,43,18.7438
-20319.885,44,18.778919
-20300.307,42,18.824032
-20399.363,52,18.841094
-20285.58,41,18.853608
-20309.326,43,18.890182
-20299.271,42,18.914784
-20351.152,47,18.931822
-20307.566,43,18.956843
-20337.3,46,18.98146
-20298.324,42,18.993969
-20323.686,45,19.032837
-20320.512,44,19.056877
-20327.365,45,19.07052
-20330.342,45,19.116259
-20299.607,42,19.142278
-20442.799,56,19.182452
-20348.352,47,19.200483
-20268.824,39,19.207484
-20288.506,41,19.256274
-20307.574,43,19.280833
-20320.322,44,19.288357
-20288.424,41,19.318911
-20259.912,38,19.33543
-20297.977,42,19.352992
-20299.727,42,19.390563
-20299.031,42,19.407072
-20277.424,40,19.415591
-20318.066,44,19.45153
-20299.389,42,19.472036
-20349.98,47,19.49366
-20286.361,41,19.523678
-20318.867,44,19.538704
-20326.887,45,19.557237
-20285.55,41,19.587717
-20296.773,42,19.60875
-20294.97,42,19.629901
-20278.275,40,19.647927
-20287.736,41,19.667204
-20296.936,42,19.684718
-20295.03,42,19.712132
-20320.064,44,19.738529
-20269.754,39,19.752565
-20250.643,37,19.770916
-20250.168,37,19.791663
-20298.56,42,19.817205
-20317.922,44,19.834718
-20277.133,40,19.855784
-20289.098,41,19.880692
-20278.006,40,19.901737
-20275.588,40,19.94383
-20329.893,45,20.004011
-20287.182,41,20.024063
-20289.965,41,20.051301
-20288.84,41,20.084858
-20287.049,41,20.100148
-20267.408,39,20.114166
-20299.537,42,20.146196
-20287.879,41,20.158215
-20268.72,39,20.178253
-20299.668,42,20.215321
-20316.936,44,20.229833
-20319.63,44,20.239347
-20279.832,40,20.269459
-20299.254,42,20.284476
-20342.969,46,20.305907
-20308.174,43,20.331451
-20296.9,42,20.351482
-20288.48,41,20.364498
-20279.557,40,20.386528
-20269.982,39,20.398777
-20267.652,39,20.421821
-20309.516,43,20.474633
-20277.355,40,20.485156
-20298.184,42,20.507184
-20307.803,43,20.550256
-20355.916,48,20.566282
-20269.691,39,20.573801
-20277.604,40,20.607889
-20258.504,38,20.622403
-20290.08,41,20.630921
-20287.635,41,20.67659
-20320.082,44,20.692351
-20318.938,44,20.704866
-20317.932,44,20.73892
-20277.512,40,20.748426
-20297.287,42,20.760936
-20287.043,41,20.801779
-20295.94,42,20.816293
-20280.545,40,20.825433
-20279.957,40,20.857976
-20258.738,38,20.867019
-20278.162,40,20.880539
-20309.273,43,20.925989
-20288.38,41,20.937511
-20330.303,45,20.954021
-20288.72,41,20.984075
-20301.13,42,20.992592
-20277.11,40,21.013489
-20260.23,38,21.04354
-20288.344,41,21.056055
-20268.46,39,21.071086
-20266.826,39,21.09762
-20287.496,41,21.112127
-20287.293,41,21.13016
-20278.168,40,21.157199
-20277.307,40,21.171442
-20289.797,41,21.185964
-20280.107,40,21.210992
-20286.656,41,21.235354
-20266.799,39,21.244861
-20335.947,46,21.278919
