#{"t_start": 1716641042.527058, "env_id": "None"}
r,l,t
-113.0,115,70.958001
-68.0,70,70.983054
-85.0,87,71.156719
-92.0,94,71.210845
-140.0,142,71.314645
-112.0,114,71.43294
-62.0,64,71.503658
-88.0,90,71.59088
-71.0,73,71.751807
-80.0,82,71.867065
-260.0,262,71.869066
-259.0,261,72.496059
-294.0,296,72.553735
-389.0,391,72.712695
-81.0,83,72.734963
-78.0,80,72.858089
-139.0,141,72.878133
-79.0,81,73.057147
-75.0,77,73.081191
-67.0,69,73.167952
-73.0,75,73.207046
-341.0,343,73.418761
-94.0,96,73.455332
-138.0,140,73.52462
-82.0,84,73.729259
-200.0,202,74.185614
-157.0,159,74.214311
-278.0,280,74.267702
-67.0,69,74.325369
-66.0,68,74.351036
-67.0,69,74.468096
-71.0,73,74.572886
-70.0,72,74.601971
-113.0,115,74.739124
-146.0,148,75.015589
-80.0,82,75.025124
-189.0,191,75.082803
-160.0,162,75.480613
-164.0,166,75.484616
-154.0,156,75.604402
-75.0,77,75.72379
-75.0,77,75.726787
-69.0,71,75.755363
-98.0,100,76.016052
-106.0,108,76.025581
-95.0,97,76.034111
-260.0,262,76.791232
-287.0,289,76.861487
-74.0,76,77.035554
-350.0,352,77.075138
-250.0,252,77.536265
-259.0,261,77.721264
-77.0,79,77.787436
-283.0,285,77.80848
-65.0,67,77.850124
-148.0,150,78.182858
-151.0,153,78.20742
-69.0,71,78.386969
-196.0,198,78.406621
-72.0,74,78.417652
-59.0,61,78.533311
-57.0,59,78.54183
-91.0,93,78.565864
-70.0,72,78.767889
-71.0,73,78.894645
-165.0,167,79.069156
-70.0,72,79.696948
-200.0,202,79.706475
-61.0,63,79.730061
-62.0,64,79.844948
-61.0,63,79.861986
-61.0,63,79.891043
-61.0,63,80.072447
-61.0,63,80.081974
-61.0,63,80.111572
-65.0,67,80.24643
-68.0,70,80.260668
-66.0,68,80.285708
-55.0,57,80.468666
-64.0,66,80.495771
-65.0,67,80.524893
-65.0,67,80.70644
-58.0,60,80.825837
-177.0,179,80.916574
-172.0,174,80.959206
-60.0,62,80.965214
-77.0,79,81.135488
-85.0,87,81.191716
-138.0,140,81.285167
-71.0,73,81.411008
-64.0,66,81.529319
-169.0,171,81.5704
-129.0,131,81.749911
-179.0,181,81.912921
-68.0,70,82.124887
-182.0,184,82.161443
-255.0,257,82.173964
-72.0,74,82.2702
-65.0,67,82.300777
-63.0,65,82.307299
-63.0,65,82.466207
-59.0,61,82.565989
-148.0,150,82.863128
-181.0,183,82.98998
-78.0,80,82.996487
-95.0,97,83.186027
-66.0,68,83.391532
-173.0,175,83.466216
-174.0,176,83.472223
-80.0,82,83.525952
-105.0,107,83.747251
-103.0,105,84.02518
-181.0,183,84.026178
-197.0,219,84.033709
-81.0,83,84.217479
-81.0,83,84.218483
-83.0,85,84.218483
-68.0,70,84.418437
-68.0,70,84.422949
-68.0,70,84.422949
-66.0,68,84.601446
-67.0,69,84.601446
-68.0,70,84.603448
-70.0,72,85.062507
-72.0,74,85.06804
-60.0,62,85.467719
-61.0,63,85.477252
-64.0,66,85.906111
-69.0,71,85.926672
-210.0,212,85.949735
-73.0,75,86.229525
-77.0,79,86.259596
-71.0,73,86.259596
-124.0,126,86.683952
-128.0,130,86.694029
-145.0,153,86.720509
-58.0,60,86.922183
-58.0,60,86.928713
-59.0,61,86.950752
-65.0,67,87.082699
-69.0,71,87.082699
-68.0,70,87.114275
-54.0,56,87.291817
-55.0,57,87.29381
-53.0,55,87.364712
-52.0,54,87.653594
-52.0,54,87.655596
-52.0,54,87.700661
-50.0,52,87.771362
-52.0,54,87.776881
-50.0,52,87.816486
-53.0,55,87.90234
-53.0,55,87.903349
-55.0,57,88.034948
-65.0,67,88.160916
-70.0,72,88.166923
-62.0,64,88.17945
-73.0,75,88.393021
-72.0,74,88.411065
-69.0,71,88.417586
-276.0,278,89.087757
-65.0,67,89.243359
-343.0,417,89.457422
-310.0,490,89.718133
-134.0,156,89.73716
-123.0,265,90.133136
-155.0,223,90.18877
-146.0,216,90.20583
-55.0,57,90.271476
-56.0,58,90.357726
-57.0,59,90.373254
-53.0,55,90.390295
-58.0,60,90.483434
-59.0,61,90.50348
-58.0,60,90.517501
-60.0,62,90.667418
