#{"t_start": 1716648255.1611516, "env_id": "None"}
r,l,t
-55.0,57,61.175541
-50.0,52,61.206613
-52.0,54,61.217138
-47.0,49,61.242195
-57.0,59,61.369051
-55.0,57,61.377561
-44.0,46,61.384564
-44.0,46,61.427418
-53.0,55,61.428425
-49.0,51,61.441939
-49.0,51,61.488503
-51.0,53,61.489503
-43.0,45,61.497015
-47.0,49,61.556114
-52.0,54,61.559112
-51.0,53,61.565618
-44.0,46,61.611296
-44.0,46,61.615298
-43.0,45,61.627813
-47.0,49,61.675373
-46.0,48,61.679375
-52.0,54,61.690403
-48.0,50,61.868385
-53.0,55,61.877901
-54.0,56,61.889421
-48.0,50,61.955439
-63.0,65,61.982977
-73.0,75,62.009545
-48.0,50,62.015052
-49.0,51,62.043081
-47.0,49,62.07462
-46.0,48,62.082134
-49.0,51,62.114227
-44.0,46,62.12774
-47.0,49,62.136262
-43.0,45,62.230491
-41.0,43,62.277596
-55.0,57,62.286007
-49.0,51,62.31909
-55.0,57,62.345181
-51.0,53,62.347179
-49.0,51,62.369216
-48.0,50,62.40749
-52.0,54,62.417722
-55.0,57,62.450811
-45.0,47,62.467347
-43.0,45,62.472348
-56.0,58,62.523474
-49.0,51,62.540515
-57.0,59,62.545513
-59.0,61,62.691374
-45.0,47,62.694374
-52.0,54,62.697884
-48.0,50,62.739961
-48.0,50,62.746969
-51.0,53,62.757499
-46.0,48,62.804633
-43.0,45,62.807638
-55.0,57,62.811638
-45.0,47,62.87176
-48.0,50,62.879265
-62.0,64,62.888316
-42.0,44,62.92548
-63.0,65,62.974087
-60.0,62,62.981108
-45.0,47,63.005775
-53.0,55,63.129058
-62.0,64,63.168175
-52.0,54,63.17517
-51.0,53,63.21777
-48.0,50,63.2298
-52.0,54,63.241341
-45.0,47,63.272918
-49.0,51,63.292902
-47.0,49,63.302418
-51.0,53,63.35754
-47.0,49,63.370668
-50.0,52,63.387187
-47.0,49,63.42608
-48.0,50,63.44161
-52.0,54,63.471186
-49.0,51,63.665699
-62.0,64,63.672226
-47.0,49,63.688264
-45.0,47,63.739951
-45.0,47,63.74348
